"調査年","地域","/項目","A4101_出生数【人】","A4200_死亡数【人】","A9101_婚姻件数【組】","A9201_離婚件数【組】"
"2017年度","兵庫県 神戸市 東灘区","","1,717","1,709","1,011","366"
"2017年度","兵庫県 神戸市 灘区","","1,118","1,256","671","210"
"2017年度","兵庫県 神戸市 兵庫区","","787","1,427","728","227"
"2017年度","兵庫県 神戸市 長田区","","585","1,368","484","204"
"2017年度","兵庫県 神戸市 須磨区","","1,140","1,757","701","290"
"2017年度","兵庫県 神戸市 垂水区","","1,837","2,376","933","402"
"2017年度","兵庫県 神戸市 北区","","1,396","2,202","779","358"
"2017年度","兵庫県 神戸市 中央区","","1,099","1,213","986","298"
"2017年度","兵庫県 神戸市 西区","","1,623","2,053","970","411"
"2017年度","兵庫県 姫路市","","4,315","5,448","2,746","927"
"2017年度","兵庫県 尼崎市","","3,731","5,006","2,770","905"
"2017年度","兵庫県 明石市","","2,694","2,727","1,608","524"
"2017年度","兵庫県 西宮市","","4,076","3,932","2,331","737"
"2017年度","兵庫県 洲本市","","295","640","170","62"
"2017年度","兵庫県 芦屋市","","671","945","382","156"
"2017年度","兵庫県 伊丹市","","1,708","1,638","1,040","327"
"2017年度","兵庫県 相生市","","223","417","111","33"
"2017年度","兵庫県 豊岡市","","582","1,119","350","115"
"2017年度","兵庫県 加古川市","","2,029","2,462","1,252","441"
"2017年度","兵庫県 赤穂市","","260","588","156","68"
"2017年度","兵庫県 西脇市","","265","482","144","64"
"2017年度","兵庫県 宝塚市","","1,696","2,048","788","342"
"2017年度","兵庫県 三木市","","472","856","290","113"
"2017年度","兵庫県 高砂市","","644","899","433","140"
"2017年度","兵庫県 川西市","","1,006","1,559","543","236"
"2017年度","兵庫県 小野市","","349","498","211","80"
"2017年度","兵庫県 三田市","","804","821","415","127"
"2017年度","兵庫県 加西市","","258","555","162","54"
"2017年度","兵庫県 篠山市","","270","583","141","58"
"2017年度","兵庫県 養父市","","159","417","68","35"
"2017年度","兵庫県 丹波市","","441","852","250","100"
"2017年度","兵庫県 南あわじ市","","316","637","150","53"
"2017年度","兵庫県 朝来市","","224","454","130","46"
"2017年度","兵庫県 淡路市","","268","701","130","58"
"2017年度","兵庫県 宍粟市","","221","533","111","55"
"2017年度","兵庫県 加東市","","336","362","205","70"
"2017年度","兵庫県 たつの市","","512","927","282","104"
